WRTN,#genre#
WRTN新闻综合,http://wfrtv-live-tz.wfcmw.cn/live/6yipdxwzb.m3u8
WRTN时代先锋,http://wfrtv-live-tz.wfcmw.cn/live/7sdxf.m3u8
WRTN政务民生,http://wfrtv-live-tz.wfcmw.cn/live/10xwplzwms.m3u8
WRTN经济生活帮,http://wfrtv-live-tz.wfcmw.cn/live/3jjplshb.m3u8
WRTN三农之声,http://wfrtv-live-tz.wfcmw.cn:81/live/16snzs.m3u8
WRTN生活频道,http://wfrtv-live-tz.wfcmw.cn:81/live/4erpdpzsh.m3u8
WRTN健康养生,http://wfrtv-live-tz.wfcmw.cn:81/live/9kyjs.m3u8
WRTN文旅频道,http://wfrtv-live-tz.wfcmw.cn:81/live/11sipdwhly.m3u8
WRTN青少体育,http://wfrtv-live-tz.wfcmw.cn:81/live/8sanpdxpty.m3u8
WRTN文艺时尚,http://wfrtv-live-tz.wfcmw.cn:82/live/1wyzxyyss.m3u8
WRTN教育瞭望,http://wfrtv-live-tz.wfcmw.cn:82/live/15jylw.m3u8
WRTN纵横潍坊,http://wfrtv-live-tz.wfcmw.cn:82/live/2jtplzhwf.m3u8
WRTN音乐综合,http://wfrtv-live-tz.wfcmw.cn:82/live/5yyplyyzh.m3u8
WRTN网红直播,http://wfrtv-live-tz.wfcmw.cn:82/live/12wlpd.m3u8
WRTN公共频道,http://wfrtv-live-tz.wfcmw.cn:82/live/17ggpd.m3u8
